,year,county,state,total_deaths,avg_unemployment
332,2016,macon,TN,5,4.45
333,2017,roane,TN,16,4.858333333333333
334,2016,shelby,TN,150,6.941666666666666
335,2017,cheatham,TN,24,3.091666666666667
336,2015,scott,TN,4,5.825
337,2015,anderson,TN,20,5.825
338,2015,hardeman,TN,1,6.441666666666666
339,2016,jackson,TN,4,3.6
340,2017,montgomery,TN,22,4.758333333333333
341,2018,van buren,TN,1,4.241666666666667
342,2016,morgan,TN,6,6.3
343,2017,bledsoe,TN,2,5.908333333333333
344,2017,henderson,TN,5,5.158333333333333
345,2018,macon,TN,2,3.591666666666667
346,2017,grundy,TN,1,3.675
347,2015,trousdale,TN,0,6.441666666666666
348,2016,marshall,TN,10,6.7
349,2016,wayne,TN,1,4.675
350,2017,decatur,TN,0,5.25
351,2018,maury,TN,18,4.133333333333333
352,2015,washington,TN,17,7.766666666666667
353,2018,sevier,TN,38,4.925
354,2017,meigs,TN,2,3.091666666666667
355,2018,hamilton,TN,41,3.1416666666666666
356,2017,hamilton,TN,60,3.566666666666667
357,2015,montgomery,TN,24,7.233333333333333
358,2015,obion,TN,2,5.508333333333333
359,2018,unicoi,TN,5,2.725
360,2018,montgomery,TN,40,4.241666666666667
361,2017,gibson,TN,6,3.966666666666667
362,2017,houston,TN,1,4.158333333333333
363,2016,tipton,TN,16,6.7
364,2017,bradley,TN,14,3.675
365,2015,bradley,TN,10,5.25
366,2016,rhea,TN,3,4.333333333333333
367,2017,hamblen,TN,9,5.216666666666667
